"TableVariableCode21","CategoryCode21","VariableName21","Denominator21","TS_code","TableName21","TableCode21","Domain21","TableCode11","nested"
"NM_2080_1_1",1,"1. Managers, directors and senior officials","All usual residents aged 16 years and over","TS063","Occupation","NM_2080_1","Labour Market","NM_1518_1",1
"NM_2080_1_2",2,"2. Professional occupations","All usual residents aged 16 years and over","TS063","Occupation","NM_2080_1","Labour Market","NM_1518_1",1
"NM_2080_1_3",3,"3. Associate professional and technical occupations","All usual residents aged 16 years and over","TS063","Occupation","NM_2080_1","Labour Market","NM_1518_1",1
"NM_2080_1_4",4,"4. Administrative and secretarial occupations","All usual residents aged 16 years and over","TS063","Occupation","NM_2080_1","Labour Market","NM_1518_1",1
"NM_2080_1_5",5,"5. Skilled trades occupations","All usual residents aged 16 years and over","TS063","Occupation","NM_2080_1","Labour Market","NM_1518_1",1
"NM_2080_1_6",6,"6. Caring, leisure and other service occupations","All usual residents aged 16 years and over","TS063","Occupation","NM_2080_1","Labour Market","NM_1518_1",1
"NM_2080_1_7",7,"7. Sales and customer service occupations","All usual residents aged 16 years and over","TS063","Occupation","NM_2080_1","Labour Market","NM_1518_1",1
"NM_2080_1_8",8,"8. Process, plant and machine operatives","All usual residents aged 16 years and over","TS063","Occupation","NM_2080_1","Labour Market","NM_1518_1",1
"NM_2080_1_9",9,"9. Elementary occupations","All usual residents aged 16 years and over","TS063","Occupation","NM_2080_1","Labour Market","NM_1518_1",1
"NM_2082_1_0",0,"Total: All usual residents aged 16 years and over not in employment the week before the census","All usual residents aged 16 years and over","TS065","Employment history","NM_2082_1","Labour Market","NM_1575_1",0
"NM_2082_1_1",1,"Not in employment: Worked in the last 12 months","All usual residents aged 16 years and over","TS065","Employment history","NM_2082_1","Labour Market","NM_1575_1",2
"NM_2082_1_2",2,"Not in employment: Not worked in the last 12 months","All usual residents aged 16 years and over","TS065","Employment history","NM_2082_1","Labour Market","NM_1575_1",2
"NM_2082_1_3",3,"Not in employment: Never worked","All usual residents aged 16 years and over","TS065","Employment history","NM_2082_1","Labour Market","NM_1575_1",2
"NM_2083_1_0",0,"Total: All usual residents aged 16 years and over","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",0
"NM_2083_1_1001",1001,"Economically active (excluding full-time students)","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",1
"NM_2083_1_1002",1002,"Economically active (excluding full-time students):In employment","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",2
"NM_2083_1_1003",1003,"Economically active (excluding full-time students):In employment:Employee","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",3
"NM_2083_1_1",1,"Economically active (excluding full-time students): In employment: Employee: Part-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_2",2,"Economically active (excluding full-time students): In employment: Employee: Full-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_1004",1004,"Economically active (excluding full-time students):In employment:Self-employed with employees","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",3
"NM_2083_1_3",3,"Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_4",4,"Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_1005",1005,"Economically active (excluding full-time students):In employment:Self-employed without employees","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",3
"NM_2083_1_5",5,"Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_6",6,"Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_7",7,"Economically active (excluding full-time students): Unemployed","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",2
"NM_2083_1_1006",1006,"Economically active and a full-time student","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",1
"NM_2083_1_1007",1007,"Economically active and a full-time student:In employment","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",2
"NM_2083_1_1008",1008,"Economically active and a full-time student:In employment:Employee","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",3
"NM_2083_1_8",8,"Economically active and a full-time student: In employment: Employee: Part-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_9",9,"Economically active and a full-time student: In employment: Employee: Full-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_1009",1009,"Economically active and a full-time student:In employment:Self-employed with employees","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",3
"NM_2083_1_10",10,"Economically active and a full-time student: In employment: Self-employed with employees: Part-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_11",11,"Economically active and a full-time student: In employment: Self-employed with employees: Full-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_1010",1010,"Economically active and a full-time student:In employment:Self-employed without employees","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",3
"NM_2083_1_12",12,"Economically active and a full-time student: In employment: Self-employed without employees: Part-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_13",13,"Economically active and a full-time student: In employment: Self-employed without employees: Full-time","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",4
"NM_2083_1_14",14,"Economically active and a full-time student: Unemployed","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",2
"NM_2083_1_1011",1011,"Economically inactive","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",1
"NM_2083_1_15",15,"Economically inactive: Retired","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",2
"NM_2083_1_16",16,"Economically inactive: Student","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",2
"NM_2083_1_17",17,"Economically inactive: Looking after home or family","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",2
"NM_2083_1_18",18,"Economically inactive: Long-term sick or disabled","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",2
"NM_2083_1_19",19,"Economically inactive: Other","All usual residents aged 16 years and over","TS066","Economic activity status","NM_2083_1","Labour Market","NM_1565_1",2
"NM_2084_1_0",0,"Total: All usual residents aged 16 years and over","All usual residents aged 16 years and over","TS067","Highest level of qualification","NM_2084_1","Education","NM_1564_1",0
"NM_2084_1_1",1,"No qualifications","All usual residents aged 16 years and over","TS067","Highest level of qualification","NM_2084_1","Education","NM_1564_1",1
"NM_2084_1_2",2,"Level 1 and entry level qualifications","All usual residents aged 16 years and over","TS067","Highest level of qualification","NM_2084_1","Education","NM_1564_1",1
"NM_2084_1_3",3,"Level 2 qualifications","All usual residents aged 16 years and over","TS067","Highest level of qualification","NM_2084_1","Education","NM_1564_1",1
"NM_2084_1_4",4,"Apprenticeship","All usual residents aged 16 years and over","TS067","Highest level of qualification","NM_2084_1","Education","NM_1564_1",1
"NM_2084_1_5",5,"Level 3 qualifications","All usual residents aged 16 years and over","TS067","Highest level of qualification","NM_2084_1","Education","NM_1564_1",1
"NM_2084_1_6",6,"Level 4 qualifications or above","All usual residents aged 16 years and over","TS067","Highest level of qualification","NM_2084_1","Education","NM_1564_1",1
"NM_2084_1_7",7,"Other qualifications","All usual residents aged 16 years and over","TS067","Highest level of qualification","NM_2084_1","Education","NM_1564_1",1
"NM_2085_1_0",0,"Total: All usual residents aged 5 years and over","All usual residents aged 5 years and over","TS068","Schoolchildren and full-time students","NM_2085_1","Education","NM_1533_1",0
"NM_2085_1_1",1,"Student","All usual residents aged 5 years and over","TS068","Schoolchildren and full-time students","NM_2085_1","Education","NM_1533_1",1
"NM_2085_1_2",2,"Not a student","All usual residents aged 5 years and over","TS068","Schoolchildren and full-time students","NM_2085_1","Education","NM_1533_1",1
